id|name|spotify_link
2pVlOoHxePUplhv9w2ZTx9|Systematic|https://open.spotify.com/embed/artist/2pVlOoHxePUplhv9w2ZTx9
5LZFsbXlryJbMXXAX27Hrg|Pure Rubbish|https://open.spotify.com/embed/artist/5LZFsbXlryJbMXXAX27Hrg
6Ig4qybKXgMN2FLSM7GKau|American Head Charge|https://open.spotify.com/embed/artist/6Ig4qybKXgMN2FLSM7GKau
2d3VHzlOEwXvmBdS4pzOPL|LeAnn Rimes|https://open.spotify.com/embed/artist/2d3VHzlOEwXvmBdS4pzOPL
5yG7ZAZafVaAlMTeBybKAL|Iggy Azalea|https://open.spotify.com/embed/artist/5yG7ZAZafVaAlMTeBybKAL
6MwwUAN4kN0umzSH7w6y93|Alice Chater|https://open.spotify.com/embed/artist/6MwwUAN4kN0umzSH7w6y93
63OeN5dXyJb5RlQiJ4duWi|In the Machine|https://open.spotify.com/embed/artist/63OeN5dXyJb5RlQiJ4duWi
0XErJwG6aCEj7NpKsEZrrO|Magic Sam|https://open.spotify.com/embed/artist/0XErJwG6aCEj7NpKsEZrrO
5Ks8fS8lZJnTFbtvxkDOkM|Witold Lutosławski|https://open.spotify.com/embed/artist/5Ks8fS8lZJnTFbtvxkDOkM
0uWuiXZLND2hyH4fjGnUqS|Axiom Brass|https://open.spotify.com/embed/artist/0uWuiXZLND2hyH4fjGnUqS
3PP1semV3yzgLR5h4L9QEy|Victor Ewald|https://open.spotify.com/embed/artist/3PP1semV3yzgLR5h4L9QEy
0qUa4TMJL5wWRuD6EqQ3Uu|Cliff Colnot|https://open.spotify.com/embed/artist/0qUa4TMJL5wWRuD6EqQ3Uu
5AXqlisvHp5FZLG3OE1qdm|Eric Ewazen|https://open.spotify.com/embed/artist/5AXqlisvHp5FZLG3OE1qdm
6FJvb2eSpRIXvmvp1aAw7y|Anders Hillborg|https://open.spotify.com/embed/artist/6FJvb2eSpRIXvmvp1aAw7y
30Mx3ZadPgGZTcs38FvYP8|Paquito D'Rivera|https://open.spotify.com/embed/artist/30Mx3ZadPgGZTcs38FvYP8
5q2ehaRqAFmM6tLl4vaVwP|Cranes|https://open.spotify.com/embed/artist/5q2ehaRqAFmM6tLl4vaVwP
4j7EVY3kuDwLPfD2jfC7LC|Toad The Wet Sprocket|https://open.spotify.com/embed/artist/4j7EVY3kuDwLPfD2jfC7LC
5l2EAkfckNPYZbEDbQtEkO|Pete Yorn|https://open.spotify.com/embed/artist/5l2EAkfckNPYZbEDbQtEkO
3LTXHU3DhiYzGIgF2PP8Q8|The Raveonettes|https://open.spotify.com/embed/artist/3LTXHU3DhiYzGIgF2PP8Q8
4E5nnaQxGmUQCQeuGrXsql|The Mooney Suzuki|https://open.spotify.com/embed/artist/4E5nnaQxGmUQCQeuGrXsql
1teuX1qrnlrq9BHjL6PDn4|Flick|https://open.spotify.com/embed/artist/1teuX1qrnlrq9BHjL6PDn4
0XyWrKlieKYjGrIkA3Kieq|Stereomud|https://open.spotify.com/embed/artist/0XyWrKlieKYjGrIkA3Kieq
6GUcvnivxguzm9ull4Imc1|Memento|https://open.spotify.com/embed/artist/6GUcvnivxguzm9ull4Imc1
1rUhls0GXNMqOD8QXkqgFO|Fingertight|https://open.spotify.com/embed/artist/1rUhls0GXNMqOD8QXkqgFO
3LC8PXXgk7YtAIobtjSdNi|The Ataris|https://open.spotify.com/embed/artist/3LC8PXXgk7YtAIobtjSdNi
2n1VtxlAkbmKYpttMkyPL4|Start Trouble|https://open.spotify.com/embed/artist/2n1VtxlAkbmKYpttMkyPL4
4yurOtgqbRg4CSsHcZt8r9|Kenna|https://open.spotify.com/embed/artist/4yurOtgqbRg4CSsHcZt8r9
4IR8ZkpbyyKrqsIzchF3NB|Crossfade|https://open.spotify.com/embed/artist/4IR8ZkpbyyKrqsIzchF3NB
2NgIT83xqoGIM0hZIyotp7|Head On|https://open.spotify.com/embed/artist/2NgIT83xqoGIM0hZIyotp7
2sQMWvEOpGDW5znSlXwDn5|Endo|https://open.spotify.com/embed/artist/2sQMWvEOpGDW5znSlXwDn5
6OiHleP2bHM18dXq4aZQWt|The Coral|https://open.spotify.com/embed/artist/6OiHleP2bHM18dXq4aZQWt
5bbpDP1kh6m08RpU064Azm|Porch Ghouls|https://open.spotify.com/embed/artist/5bbpDP1kh6m08RpU064Azm
3V4c44pHzC8apm8HiiFF6V|Overseer|https://open.spotify.com/embed/artist/3V4c44pHzC8apm8HiiFF6V
03jT8XmGSxo1TNg6nYTtXt|Seafieldroad|https://open.spotify.com/embed/artist/03jT8XmGSxo1TNg6nYTtXt
2TlDi85T3NiBxg46RJkiDL|Deathbreaker|https://open.spotify.com/embed/artist/2TlDi85T3NiBxg46RJkiDL
6OcjRZ3zQwn1XFuGWBjfRc|Jeremy Schaeffer|https://open.spotify.com/embed/artist/6OcjRZ3zQwn1XFuGWBjfRc
4yt002Vil1q4Vl9JOx48QG|David & Steve Gordon|https://open.spotify.com/embed/artist/4yt002Vil1q4Vl9JOx48QG
7omHde2HZ8LCWFgOD0EvHw|Blamstrain|https://open.spotify.com/embed/artist/7omHde2HZ8LCWFgOD0EvHw
6X8of8pN3bsoU2W2KlPaCT|Organillero|https://open.spotify.com/embed/artist/6X8of8pN3bsoU2W2KlPaCT
6WvDtNFHOWHfiNy8NVHujT|Maldita Vecindad Y Los Hijos Del 5to. Patio|https://open.spotify.com/embed/artist/6WvDtNFHOWHfiNy8NVHujT
7cYANAYRy7NVHwLcL7M5TL|Warren Sonny Wahpepah Nima-Wah|https://open.spotify.com/embed/artist/7cYANAYRy7NVHwLcL7M5TL
1iLSCtfJXy3IVYzeAkJXDJ|Evie Ladin Band|https://open.spotify.com/embed/artist/1iLSCtfJXy3IVYzeAkJXDJ
2zcA2rLi9jv1i97HmFWFv4|Pietro Locatelli|https://open.spotify.com/embed/artist/2zcA2rLi9jv1i97HmFWFv4
3COykW4UPvB0DqwnzlnfWt|Capella Istropolitana|https://open.spotify.com/embed/artist/3COykW4UPvB0DqwnzlnfWt
3Ani6Kn174IpdoGePSMFbk|Jaroslav Krcek|https://open.spotify.com/embed/artist/3Ani6Kn174IpdoGePSMFbk
4oUHIQIBe0LHzYfvXNW4QM|Morgan Wallen|https://open.spotify.com/embed/artist/4oUHIQIBe0LHzYfvXNW4QM
4iYX16iq2gdeSPUUjuYPMH|Zombie Apocalypse|https://open.spotify.com/embed/artist/4iYX16iq2gdeSPUUjuYPMH
1w5Kfo2jwwIPruYS2UWh56|Pearl Jam|https://open.spotify.com/embed/artist/1w5Kfo2jwwIPruYS2UWh56
04RtvnUz0XrUbUZzOA8ZoW|Sugarcult|https://open.spotify.com/embed/artist/04RtvnUz0XrUbUZzOA8ZoW
0O0lrN34wrcuBenkqlEDZe|The Psychedelic Furs|https://open.spotify.com/embed/artist/0O0lrN34wrcuBenkqlEDZe
4mahx7nXrGCks8TajUanEY|Thea K|https://open.spotify.com/embed/artist/4mahx7nXrGCks8TajUanEY
7t9ZtppToF86jkNc7AEVEf|The National Philharmonic Orchestra And Chorus|https://open.spotify.com/embed/artist/7t9ZtppToF86jkNc7AEVEf
76PJKS3IQsf4sSayx2taE0|The Hit Crew|https://open.spotify.com/embed/artist/76PJKS3IQsf4sSayx2taE0
2GLf7iaOOujAem5R87xwto|Matthew Dear|https://open.spotify.com/embed/artist/2GLf7iaOOujAem5R87xwto
6MspWdWzglO7BylWxTqfRW|Coffin Lids|https://open.spotify.com/embed/artist/6MspWdWzglO7BylWxTqfRW
4YrKBkKSVeqDamzBPWVnSJ|Basement Jaxx|https://open.spotify.com/embed/artist/4YrKBkKSVeqDamzBPWVnSJ
2nsGWZA0LtO7istBNsyNTE|Les Wampas|https://open.spotify.com/embed/artist/2nsGWZA0LtO7istBNsyNTE
2VAvhf61GgLYmC6C8anyX1|Boards of Canada|https://open.spotify.com/embed/artist/2VAvhf61GgLYmC6C8anyX1
2wOqMjp9TyABvtHdOSOTUS|Ludwig van Beethoven|https://open.spotify.com/embed/artist/2wOqMjp9TyABvtHdOSOTUS
0Sa1iJBa3qhiBZOjjPrXDQ|Quartetto Italiano|https://open.spotify.com/embed/artist/0Sa1iJBa3qhiBZOjjPrXDQ
7Mrh9cRZW6Ax9Z0BK9X1P2|Jadox, DJ mr|https://open.spotify.com/embed/artist/7Mrh9cRZW6Ax9Z0BK9X1P2
6FyiuBHb9OFHJg2uLMCZw0|Jadox|https://open.spotify.com/embed/artist/6FyiuBHb9OFHJg2uLMCZw0
