id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
1dVT2CbuH0j9rKco5dvkLI,Love Loves You Too,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],9,1,False,0.613,0.294,4,-13.13,1,0.0311,0.8109999999999999,0.0243,0.10800000000000001,0.174,81.959,253933,4.0,1994,1994-03-01
3bM7rvHfGmCxRPOiPE177Y,Sunrise On The Mississippi,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],10,1,False,0.568,0.307,0,-13.334000000000001,1,0.0428,0.877,0.898,0.265,0.76,142.66299999999995,181133,4.0,1994,1994-03-01
2IHBrlBh7aurAatdXG2yTb,Closer to the Light,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],11,1,False,0.536,0.21899999999999997,11,-18.2,0,0.03,0.34,0.0362,0.12300000000000001,0.306,143.576,250333,3.0,1994,1994-03-01
7rrMXOKZNmoO10wgvwNj5H,Tie Me At The Crossroads,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],12,1,False,0.586,0.742,9,-6.8839999999999995,1,0.0493,0.023,8.77e-06,0.0697,0.968,170.00900000000001,170507,4.0,1994,1994-03-01
6LiqMOJNu3pMKO6M1cTsgA,Amber Waves,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],1,1,False,0.5760000000000001,0.494,9,-9.917,1,0.0262,0.898,0.00443,0.139,0.4370000000000001,100.0,219400,4.0,2002,2002-10-28
7Kwmac3lkTQ8tPyAVQ0L8G,A Sorta Fairytale,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],2,1,False,0.605,0.46299999999999997,5,-9.805,0,0.0433,0.6829999999999999,0.0206,0.091,0.888,153.072,328600,4.0,2002,2002-10-28
5AYTqYsVCLGRZn260BdzhA,Wednesday,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],3,1,False,0.5529999999999999,0.413,7,-13.424000000000001,0,0.0367,0.888,0.0015199999999999999,0.0902,0.39899999999999997,106.479,149107,5.0,2002,2002-10-28
23x2sdNqlVYtl5gWGyNFde,strange,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],4,1,False,0.5329999999999999,0.319,10,-11.448,1,0.0323,0.885,0.00387,0.11800000000000001,0.19699999999999998,119.475,185987,3.0,2002,2002-10-28
5lRtnfrCah6ntObtZLbZTU,Carbon,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],5,1,False,0.44799999999999995,0.584,8,-9.971,0,0.0296,0.8029999999999999,0.33399999999999996,0.0858,0.4270000000000001,157.99200000000005,273333,3.0,2002,2002-10-28
6SlnEnfXXRN56646HSFcO5,Crazy,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],6,1,False,0.465,0.375,2,-11.737,0,0.0292,0.7609999999999999,0.0218,0.13,0.233,131.164,263293,3.0,2002,2002-10-28
76zFGcQrel57hYKVLseQDN,wampum prayer,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],7,1,False,0.496,0.15,8,-16.816,1,0.24600000000000002,0.977,0.000202,0.158,0.22699999999999998,130.123,44333,4.0,2002,2002-10-28
78ooTgHdUvkvmKqm5bw293,don't make me come to Vegas,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],8,1,False,0.685,0.4320000000000001,7,-11.277999999999999,1,0.0373,0.861,0.21,0.0883,0.611,97.02799999999999,291560,4.0,2002,2002-10-28
5uvY2yM4HMKdwijMCPrd4x,Sweet Sangria,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],9,1,False,0.6779999999999999,0.49,0,-10.468,1,0.0361,0.672,0.000643,0.188,0.685,134.97799999999998,241693,4.0,2002,2002-10-28
5qGqSVrQC55BPAKhJj5Ftv,Your Cloud,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],10,1,False,0.591,0.299,6,-14.459000000000001,1,0.0287,0.847,0.0455,0.106,0.149,113.01899999999999,270680,4.0,2002,2002-10-28
3UkYhZrL4RrjQbxxth6uQ0,Pancake,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],11,1,False,0.5920000000000001,0.55,2,-9.097000000000001,0,0.0284,0.8,0.00364,0.114,0.573,133.952,234827,4.0,2002,2002-10-28
0AByf8LXqfnKa1UW7kbxsr,I Can't See New York,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],12,1,False,0.45899999999999996,0.401,5,-11.675,0,0.0271,0.8759999999999999,0.0941,0.0762,0.18,101.63600000000001,434907,4.0,2002,2002-10-28
1ymMLSCjjk9tuVC0ZhfmBh,mrs. jesus,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],13,1,False,0.485,0.295,9,-12.633,1,0.0324,0.9209999999999999,0.0283,0.177,0.223,123.16799999999999,185253,4.0,2002,2002-10-28
