id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
1MdS31xYweAsuwj7fdR8xA|Burden Of The Angel/Beast|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.69|0.31|2|1|0.79|0.01|0.37|1994-03-01|https://open.spotify.com/embed/track/1MdS31xYweAsuwj7fdR8xA
0rHW20CX7izpkFLVj6RhtM|Scanning These Crowds|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.58|0.61|2|1|0.14|0.0|0.44|1994-03-01|https://open.spotify.com/embed/track/0rHW20CX7izpkFLVj6RhtM
31v1dqATMAtTPlZjOE3Tou|Southland Of The Heart|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.56|0.3|0|1|0.04|0.0|0.24|1994-03-01|https://open.spotify.com/embed/track/31v1dqATMAtTPlZjOE3Tou
4M2EK2o9Zgy2jeqLVifARM|Train In The Rain|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.56|0.31|4|1|0.94|0.88|0.74|1994-03-01|https://open.spotify.com/embed/track/4M2EK2o9Zgy2jeqLVifARM
59gijFhkwYNY2IAw0wg2PX|Someone I Used To Love|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.46|0.33|9|1|0.48|0.0|0.38|1994-03-01|https://open.spotify.com/embed/track/59gijFhkwYNY2IAw0wg2PX
1dVT2CbuH0j9rKco5dvkLI|Love Loves You Too|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.61|0.29|4|1|0.81|0.02|0.17|1994-03-01|https://open.spotify.com/embed/track/1dVT2CbuH0j9rKco5dvkLI
3bM7rvHfGmCxRPOiPE177Y|Sunrise On The Mississippi|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.57|0.31|0|1|0.88|0.9|0.76|1994-03-01|https://open.spotify.com/embed/track/3bM7rvHfGmCxRPOiPE177Y
2IHBrlBh7aurAatdXG2yTb|Closer to the Light|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.54|0.22|11|0|0.34|0.04|0.31|1994-03-01|https://open.spotify.com/embed/track/2IHBrlBh7aurAatdXG2yTb
7rrMXOKZNmoO10wgvwNj5H|Tie Me At The Crossroads|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.59|0.74|9|1|0.02|0.0|0.97|1994-03-01|https://open.spotify.com/embed/track/7rrMXOKZNmoO10wgvwNj5H
6LiqMOJNu3pMKO6M1cTsgA|Amber Waves|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.58|0.49|9|1|0.9|0.0|0.44|2002-10-28|https://open.spotify.com/embed/track/6LiqMOJNu3pMKO6M1cTsgA
7Kwmac3lkTQ8tPyAVQ0L8G|A Sorta Fairytale|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.6|0.46|5|0|0.68|0.02|0.89|2002-10-28|https://open.spotify.com/embed/track/7Kwmac3lkTQ8tPyAVQ0L8G
5AYTqYsVCLGRZn260BdzhA|Wednesday|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.55|0.41|7|0|0.89|0.0|0.4|2002-10-28|https://open.spotify.com/embed/track/5AYTqYsVCLGRZn260BdzhA
23x2sdNqlVYtl5gWGyNFde|strange|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.53|0.32|10|1|0.89|0.0|0.2|2002-10-28|https://open.spotify.com/embed/track/23x2sdNqlVYtl5gWGyNFde
5lRtnfrCah6ntObtZLbZTU|Carbon|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.45|0.58|8|0|0.8|0.33|0.43|2002-10-28|https://open.spotify.com/embed/track/5lRtnfrCah6ntObtZLbZTU
6SlnEnfXXRN56646HSFcO5|Crazy|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.47|0.38|2|0|0.76|0.02|0.23|2002-10-28|https://open.spotify.com/embed/track/6SlnEnfXXRN56646HSFcO5
76zFGcQrel57hYKVLseQDN|wampum prayer|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.5|0.15|8|1|0.98|0.0|0.23|2002-10-28|https://open.spotify.com/embed/track/76zFGcQrel57hYKVLseQDN
78ooTgHdUvkvmKqm5bw293|don't make me come to Vegas|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.69|0.43|7|1|0.86|0.21|0.61|2002-10-28|https://open.spotify.com/embed/track/78ooTgHdUvkvmKqm5bw293
5uvY2yM4HMKdwijMCPrd4x|Sweet Sangria|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.68|0.49|0|1|0.67|0.0|0.69|2002-10-28|https://open.spotify.com/embed/track/5uvY2yM4HMKdwijMCPrd4x
5qGqSVrQC55BPAKhJj5Ftv|Your Cloud|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.59|0.3|6|1|0.85|0.05|0.15|2002-10-28|https://open.spotify.com/embed/track/5qGqSVrQC55BPAKhJj5Ftv
3UkYhZrL4RrjQbxxth6uQ0|Pancake|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.59|0.55|2|0|0.8|0.0|0.57|2002-10-28|https://open.spotify.com/embed/track/3UkYhZrL4RrjQbxxth6uQ0
0AByf8LXqfnKa1UW7kbxsr|I Can't See New York|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.46|0.4|5|0|0.88|0.09|0.18|2002-10-28|https://open.spotify.com/embed/track/0AByf8LXqfnKa1UW7kbxsr
1ymMLSCjjk9tuVC0ZhfmBh|mrs. jesus|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.48|0.29|9|1|0.92|0.03|0.22|2002-10-28|https://open.spotify.com/embed/track/1ymMLSCjjk9tuVC0ZhfmBh
5p8pLI3XwrwiIdxdw2Rlgd|Taxi Ride|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.55|0.66|8|1|0.35|0.01|0.64|2002-10-28|https://open.spotify.com/embed/track/5p8pLI3XwrwiIdxdw2Rlgd
2tu3GBzpVQfD8gtYsIm2o5|Another Girl's Paradise|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.62|0.41|0|1|0.71|0.0|0.24|2002-10-28|https://open.spotify.com/embed/track/2tu3GBzpVQfD8gtYsIm2o5
4lDMOr82Ks0qcXSe9hp4f0|Scarlet's Walk|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.44|0.39|3|0|0.96|0.06|0.33|2002-10-28|https://open.spotify.com/embed/track/4lDMOr82Ks0qcXSe9hp4f0
1MjpQ68nD7GhX2GusCyPD5|Virginia|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.46|0.49|6|0|0.87|0.16|0.23|2002-10-28|https://open.spotify.com/embed/track/1MjpQ68nD7GhX2GusCyPD5
0UxGJ0eyqOdcPrOWCNJtmp|Gold Dust|Scarlet's Walk|5JnLg2nd43M3NS4NfVrIdQ|['1KsASRNugxU85T0u6zSg32']|0|0.28|0.22|3|0|0.92|0.0|0.26|2002-10-28|https://open.spotify.com/embed/track/0UxGJ0eyqOdcPrOWCNJtmp
6RovFMOG0avksTizHRlbUi|Rosaryville|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.73|0.59|5|1|0.34|0.0|0.64|1999-07-20|https://open.spotify.com/embed/track/6RovFMOG0avksTizHRlbUi
